id,first_name,last_name,birth_date,death_date,place_of_birth,wikipedia_url,start_mandate,end_mandate,first_paragraph,country
Q57553,Mohammed,None,1963-08-21,,Rabat,https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3_%D8%A8%D9%86_%D8%A7%D9%84%D8%AD%D8%B3%D9%86,1999-07-23,,مُحمد السادس بن الحسن الثاني العلوي(21 أغسطس 1963م -)، هو ملك المملكة المغربية منذ عام 1999 والملك الثالث والعشرون للمغرب منسلالة العلويين الفيلاليين، تولى الحكم خلفًا لوالده الملكالحسن الثانيبعد وفاته، وتمَّت البيعة له ملكًا يوم الجمعة 9 ربيع الثاني سنة 1420 هـ الموافق 23 يوليو 1999 بالقصر الملكيبالرباط.,ma
Q69103,Hassan,None,1929-07-09,1999-07-20,Rabat,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D8%B3%D9%86_%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A_%D8%A8%D9%86_%D9%85%D8%AD%D9%85%D8%AF,1961-02-26,1999-07-23,الحَسَن الثاني بِنْ مُحمد بِنْ يوسف العَلوي(9 يوليو 1929 – 23 يوليو 1999)،ثاني ملوك المملكة المغربية بعد الإستقلال، والملك الثاني والعشرين للمغرب منسلالة العلويين الفيلاليين، تولى حكم المملكة المغربية خلفًا لوالده الملك محمد الخامس في 26 فبراير 1961 وحتى وفاته في 20 يوليو 1999. ينتمي الملك الحسن الثاني إلى السلالة العلوية التي تعود في نسبها إلىالحسن بن علي بن أبي طالب، وتحكم المغرب منذ عام 1666 ميلادية ويلقب الحاكم منهم بأمير المؤمنين.,ma
Q193874,Mohammed,None,1909-08-10,1961-02-26,Fez,https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3_%D8%A8%D9%86_%D9%8A%D9%88%D8%B3%D9%81,1957-08-14,1961-02-26,محمد الخامسبنيوسفبنالحسنبنمحمدبنعبد الرحمنبنهشامبنمحمدبنعبد الله بن إسماعيلبنإسماعيلبنالشريف بن عليالعلوي وُلد (1327 هـ/10 أغسطس1909مبالقصر السلطانيبفاس)وتوفي (1381 هـ/26 فبراير1961مبالرباط) خَلَف والده السلطانمولاي يوسفالذي توفي بُكرة يوم الخميس22 جمادى الأولىسنة1346 هـموافق17 نوفمبرسنة1927مفبويع ابنه سيدي محمد سلطانا للمغرب في اليوم الموالي بعد صلاة الجمعة23 جمادى الأولىسنة1346 هـموافق18 نوفمبرسنة1927مفي القصر السلطانيبفاسولم يزل سلطان المغرب إلى سنة1957م، قضى منها المنفى بين (1953-1955)، ثم اتخذ لقب الملك سنة1957مولم يزل ملكا إلى وفاته سنة1961م، ساند السلطانمحمد الخامسنضالاتالحركة الوطنية المغربيةالمطالبة بتحقيقالاستقلال، الشيء الذي دفعه إلى الاصطدامبسلطات الحماية. وكانت النتيجة قيام سلطات الحماية بنفيه إلىمدغشقر. وعلى إثر ذلك اندلعت مظاهرات مطالبة بعودته إلى وطنه. وأمام اشتداد حدة المظاهرات، قبلت السلطات الفرنسية بإرجاع السلطان إلى عرشه يوم16 نوفمبر1955. وبعد بضعة شهور تم إعلاناستقلالالمغرب. كان الملك محمد الخامس يكنى: أبا عبد الله.,ma
Q334782,Mohammed,None,,,None,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%82%D8%A7%D8%A6%D9%85_%D8%A8%D8%A3%D9%85%D8%B1_%D8%A7%D9%84%D9%84%D9%87_%D8%A7%D9%84%D8%B3%D8%B9%D8%AF%D9%8A,,1517-01-01,أبو عبد الله محمد بن محمد ابن علي بن مخلوف بن زيدانالملقببالقائم بأمر اللهعميدالأسرة السعديةوأول سلطان للمغرب من الأسرة السعدية، حكم بين 1509 - 1517.,ma
Q23,George,Washington,1732-02-22,1799-12-14,Westmoreland County,https://en.wikipedia.org/wiki/George_Washington,1789-04-30,1797-03-04,"George Washington(February 22, 1732 –December 14, 1799) was an AmericanFounding Father, military officer, politician and statesman who served as the firstpresident of the United Statesfrom 1789 to 1797. Appointed by theSecond Continental Congressas commander of theContinental Armyin 1775, Washington ledPatriotforces to victory in theAmerican Revolutionary Warand then served as president of theConstitutional Conventionin 1787, which drafted and ratified theConstitution of the United Statesand established theU.S. federal government. Washington has thus been known as the ""Father of the Nation"".",us
Q76,Barack,Obama,1961-08-04,,Kapiolani Medical Center for Women and Children,https://en.wikipedia.org/wiki/Barack_Obama,2009-01-20,2017-01-20,"Barack Hussein Obama II(/bəˈrɑːkhuːˈseɪnoʊˈbɑːmə/ⓘbə-RAHKhoo-SAYNoh-BAH-mə;born August 4, 1961) is an American politician who served as the 44thpresident of the United Statesfrom 2009 to 2017. A member of theDemocratic Party, he was the firstAfrican-American  presidentin U.S. history. Obama previously served as a U.S. senator representing Illinois from 2005 to 2008, as anIllinois state senatorfrom 1997 to 2004, and as a civil rights lawyer and university lecturer.",us
Q91,Abraham,Lincoln,1809-02-12,1865-04-15,Sinking Spring Farm,https://en.wikipedia.org/wiki/Abraham_Lincoln,1861-03-04,1865-04-15,"Abraham Lincoln(/ˈlɪŋkən/LINK-ən; February 12, 1809 – April 15, 1865) was an American lawyer, politician, and statesman who served as the 16thpresident of the United Statesfrom 1861 untilhis assassinationin 1865. Lincoln led the United States through theAmerican Civil War, defending the nation as a constitutionalunion, defeating the insurgentConfederacy,abolishingslavery, expanding the power of thefederal government, and modernizing theU.S. economy.",us
Q207,George,Bush,1946-07-06,,New Haven,https://en.wikipedia.org/wiki/George_W._Bush,2001-01-20,2009-01-20,"George Walker Bush(born July 6, 1946) is an American politician and businessman who served as the 43rdpresident of the United Statesfrom 2001 to 2009. A member of theRepublican Party, he previously served as the 46thgovernor of Texasfrom 1995 to 2000.",us
Q1124,Bill,Clinton,1946-08-19,,Hope,https://en.wikipedia.org/wiki/Bill_Clinton,1993-01-20,2001-01-20,"Clinton was born William Jefferson Blythe III on August 19, 1946, at Julia Chester Hospital inHope, Arkansas.He is the son ofWilliam Jefferson Blythe Jr., a traveling salesman who died in an automobile accident three months before his birth, andVirginia Dell Cassidy(later Virginia Kelley).His parents had married on September 4, 1943, but this union later proved to be bigamous, as Blythe was still married to his fourth wife.Virginia traveled toNew Orleansto study nursing soon after Bill was born, leaving him in Hope with her parents Eldridge and Edith Cassidy, who owned and ran a small grocery store.At a time when the southern United States wasracially segregated, Clinton's grandparents sold goods oncreditto people of all races.In 1950, Bill's mother returned from nursing school and marriedRoger Clinton Sr., who co-owned anautomobile dealershipinHot Springs, Arkansas, with his brother andEarl T. Ricks.The family moved to Hot Springs in 1950.",us
Q6279,Joe,Biden,1942-11-20,,St. Mary's Hospital,https://en.wikipedia.org/wiki/Joe_Biden,2021-01-20,,"Biden's vice-presidential campaigning gained little media attention, as the press devoted far more coverage to the Republican nominee,Alaska governorSarah Palin.Under instructions from the campaign, Biden kept his speeches succinct and tried to avoid offhand remarks, such as one he made about Obama's being tested by a foreign power soon after taking office, which had attracted negative attention.Privately, Biden's remarks frustrated Obama. ""How many times is Biden gonna say something stupid?"" he asked.: 411–414, 419Obama campaign staffers called Biden's blunders ""Joe bombs"" and kept Biden uninformed about strategy discussions, which in turn irked Biden.Relations between the two campaigns became strained for a month, until Biden apologized on a call to Obama and the two built a stronger partnership.: 411–414",us
